text,label
I'm craving you right now.,1
lung cancer,0
Tease,1
"oslo, nice",0
Frozen pizza for 2 or less dollars,0
Yeah I really liked em!! Especially 13th def recommended time so many,0
But I suppose I can start a real conversation while we’re at it...,1
"fair enough, i'm on holidays right now",1
Good girl.,1
"You can, wherever you want too ;)",1
is the best,0
is that near bulleen?,0
then why did you just ask me about skype and snapchat?,0
swedish meatballs,0
what's with the bear,1
Yup lol,1
Any way you want ;),1
"haha i've heard about that one, it's like impossible to get
i have a splatter vinyl, a white vampire weekend record, a little red EP from life in film and a clear green fratellis one",1
Do you want to take a bite at this new place in town,1
"I want your hands to be all over my body, slowly moving over my nipples and feeling them get harder under your finger tips. I can feel you tracing every curve of my body, eventually going down between my legs, feeling how wet I am, teasing my clit until I can't take it anymore and I beg you to eat me out",1
My semesters always start out exciting,0
I already see a lot of compatibility here,1
We make out intensely,1
Also you have the best smile,1
Debbie be honest with me let’s have a deep conversation,1
what do you have to write essays for!,0
i don't eat lipbalm lol,0
does your band's facebook page feature the rock?,0
I keep waiting to hit that magic number but it hasn’t come yet,0
life story?,0
I like to graze my fingernails across my breasts.,1
Oh that’s right I remember u now!!! Dang u never came back (I sent her a picture of me and Jlaix w/ beers on our heads lol),1
"I have a thick rubber dildo, about 9″ but very wide head especially.",1
i didn't know boys were so into instagram until i downloaded tinder,1
"what on earth? my dog's not really the wrestling type, she's a golden retriever",1
video quality was shit,0
"haha, that's a good motivation",0
I’m good! It’s a friends birthday tonight,0
hahahahaha,0
🐩🐾,1
i collect coloured vinyl,0
"i go on the elliptical, and do stretches and such but i get pretty slack with it sometimes 😕",0
it's good,0
Already? How hard? ;),1
Take your time. Tell me everything.,1
I'm already fully committed to dreaming about you tonight.,1
you're sexy too 😉,1
"Mmm then put your legs behind your head, stick my finger in your wet pussy and make you squirt all over my fingers then slide my dick inside you and fuck you slowly til you beg to go deep and hard then fuck away",1
🎷,0
😍😍😍,1
Aww that sucks…,1
Wow never again lol!!!!,1
😫😫😫,1
because doges are cool,1
Might not even have time to take your skirt off,1
Dream date idea: zoom date except my internet doesnt cut out like it did last time,1
"i have some friends who play music or act, and when i ask them what they're up to, they won't shut up about whatever production they're working on",0
Or bo-dwin,0
Rainbow bright lol,1
"4.94 is an impressive score, but does it keep you up at night wondering who the uber driver was who gave you less than 5 stars, ruining what could have been a perfect score?",0
what else are you into? other than smoking and nail art,1
College ends too soon tho there’s so much to learn and do,0
?,1
So slippery.,1
all my friends who are boys have accounts but have like 1 photo on there,0
You make my heart skip a beet.,1
what have you been dancing in?,0
That pool looks refreshing but not as refreshing as you,1
Omg I so wish you were here,1
Me: We need to test this theory,1
I’m terrible with pickup lines haha,0
That’s almost worth going to the show purely to say you did,0
i figured,0
"That’s what I like to hear, mama didn’t raise no quitter 😂",0
What do you want to know?,1
"well if it's your favourite record, why on earth wouldn't you own it...!",1
you back on to me so I can finish the job,1
you have good playlists tho,0
"if you're friends with amy, do you know jeremy and mitch and crew?",0
Lemme fuck ur life up,1
the best VW is the kombi or the beetle,0
um good,0
"i believe you, it takes practice to not colour outside the lines",0
I am constantly horny,1
You look like sun today,1
"there's a strat in the corner, right?",0
"lovely, i imagine it's very fulfilling",0
Naisha is ranting let’s get her,0
What’s up Jenaya what’s your last played song on Spotify,1
I woke up to my roommates wanting to drink,0
Yeah I have a very high sex drive lol,1
you put the accent on cliché the wrong way haha,0
"how rude! i love my lanes, and degraves has cupcakes",0
Yes please I wanna see those gorgeous eyes of yours,1
Giraffes are everyone’s favorite animal 😉,1
oh you're in print media?,0
is that a photo from palace theatre?,0
"um, i play the uke and i have a little semi acoustic that i mess around one",0
Really take your time and enjoy it,1
 your personality shines so bright its so captivating ,1
"not really, it's wordplay that some friends came up with a while ago",0
do we...,1
Wbu?,1
"yeah, my friend is kind of obsessed with their 90s night",0
God I want to fuck your mouth and pussy so badly,1
You have pretty much the only tinder bio I have been able to work with,0
have you been electrocuted yet?,0
1. Blonde/Channel Orange (tie) 2. Harry Styles 3. Ctrl by SZA 4. Pony by Rex Orange County,0
fitzroy also used to be a bit of an opium den,0
I’m troublemaker,1
My tits feel great. Firm. Bouncy. Very sensitive.,1
Tell me how you like to eat my pussy.,1
"clit, that we do it on the couch soaking wet",1
But instead I just have to go about my life functionally blind,0
"Oh my god, I can feel it growing in my pussy",1
I'd rather spend my time exploring the aisles of your heart.,1
I mean we will have to practice a few times first,1
Yet at the same time so sad,0
Could you please French kiss my sweet little pussy love?,1
Namely you.,1
do you want to get together sometime,1
I am going to be jerking off over this forever.,1
please don't tranquilise the asian elephant,0
 Really? Like what? ;),1
This is both a compliment but also makes me question my entire life,1
jack black?,0
NUT 😩,1
and besides you'd be made of some kind of alloy and be conductive...,0
mostly 🐶,1
I really liked marketing in high school then coming to UW got more into tech so combined em :) what got u into envi sci?,0
"Thursdays a bit tough for me but could you do Friday some time during the day,",0
How can I make it up to you Natalie,1
"don't think so, i think she dropped out",0
I was thinking we could get lost in each other's company.,1
I'm 50 percent irish does that help,0
Legs crossed and in the air.,1
It would have been except I had a radiator,0
Try me,0
"i'll be scathing but if it's on vinyl, it'll be less terrible",0
Did you enjoy the sex book I land you,1
Damn always something,0
"hi, i'm pretty good how are you?",0
If I'm wearing any,1
I want you to promise me one thing,1
I gotchu 👉👈,0
Haha drivers license for me too but most recently Dangerously in Love by Beyoncé,0
haha yeah i did that in first year for a bit,0
"thanks, are you named after a hipster essential nutrient?",1
wallabies are cute tho,1
Chat 16,1
I did actually just never saw you boo,1
Best. Match. Ever.,1
Also we can finally reach the REALLY high shelves at Costco,1
Also you should try this instant coffee I bought it's the worst coffee I have ever had but it gets the job done,0
the green shot?,1
they're basically plays! aren't they?,0
That's how your going to feel when I spread your pussy with my tongue and make you come with my mouth,1
Dope what are you studying?,0
Do you know what the top thing I look for in a woman is?,1
what kind of air guitars?,0
I suppose we’ll have to break a couple rules then to accommodate,1
I think your ass is jealous of your pussy.,1
"science at melbourne, probably majoring in path",0
How can you be 70 miles away but still live in my head?,1
the 4th dimension?,0
last semester i had a day off for the first time ever,0
"I am experienced in fish rearing, so would like to apply to coparent your fish. What is their name?",1
First we lay on your bed.. And pull the comforters ;),1
hey do you wanna hook up,1
"Electrical engineering and computer science at Berkeley, and then all those hobbies. How do you find the time?",0
It’s okay we can just practice then,1
"Hahaha was the frat your only option? I would probably take anything over a frat. I lived in a sorority my sophomore year which was great, both for meeting girls and living in a clean and peaceful space.",0
" Aghhh I'm sooo wet ;) Baby, go down on meee. Puhlease.. Eat me out",1
Hey Sofia 👋,1
Ofc is that even a question,0
But a vibe for sure,0
haha what about you? other than 2 door,0
"many, many cruisers",0
Also how was I doppelgänger I was troublemaker 😂😂😂,0
life in film's pretty under the radar but they're my favourite,0
haha yes,1
Oh yeah? What am I doing?,1
there wasn't a pun anywhere up there 😸,1
Ended up having to go at least 3 times,0
Look who’s tryna slide in,1
looks a little worse for wear,0
Haha. Yeah. I was tired today too but out of boredom.,0
Ah I feel that. I can go for quite some time but that bit of alone time is so crucial haha,0
My pussy is tight and can take a lot of pain,1
"please cum for me, cum for your love",1
"and if it all pans out, med school after i graduate",0
(I send picture of Rainbow Brite),1
"and id curl my middle finger up, gently pressing on your g spot",1
"Me: I’m headed to a pt’s right now. Where you at hon? (As you can see before I even think about how to start sexting, I figure out if we can meet up first ;))",1
i want to slowly spread your legs wide and kiss down the inside of your thighs,1
*illusion,0
"not much, wbu?",0
do you like lecturing?,0
That’s a cute little pussy I may have to spank you for being so bad and not wearing panties,1
Lmao this is mine don’t make fun of the cover picture 😂,1
it showed up as a black square,0
just curious what it is,1
no it's like fruity,0
It makes concerts really nice ofc,0
Indeed,0
Your eyes again..,1
austrian porn,1
"i don't know what's happening then, i end up being on barbequing duty O.O",0
I feel as if weve matched before,1
It’s good to be bad sometimes 😉,1
I have a fat ass too believe it or not. What if we had a kid,1
morbid obesity?,0
If u can match ofc,0
Are you sure about that,1
Do I have the job?,0
"good, how r u?",1
"Your handwriting is so beautiful, can I just watch you write instead?",1
i think they're kind of cool but lung cancer 🙊,1
I need to tell my family 🤫,1
haha yeah i saw a youtube video of it before i bought it so no surprises there,0
taco truck is the best,1
Hey Jennie you tryna link?,1
Hey avisha you tryna link?,1
Finger yourself until you want more,1
I would say 5 as well. I am pretty happy about the election and like it a lot in CA (just moved here). But obviously life is pretty boring haha,0
You continue to impress,0
jack white's lazaretto my god,0
Daddy? Let’s go,1
"If I make it there I’ll know exactly who to text 😉 come to Seattle and you’ll have free room, board, and breakfast",1
"Your tounge plunging In my mouth""..Your legs are crossed over my back... Pulling me in..",1
"Honesty, another thing I respect. Maybe I'll just pay the dowry in full",1
and there's better coffee,0
I’m a marketing and Information systems double major haha going into more of a data role hopefully after graduating,0
do you want to grab a drink,1
crayon factory? they have those in melbourne?,0
What’s the worst and best lines you’ve heard on Tinder,1
I’m hiring a lit DJ,0
Dope so if we get married I can get free drugs in 10 years,1
Because I'm gonna tease the hell out of you before I let you cum all over my face,1
Hey 🥴,1
"a friend of mine is like that, and ironically his name is also josh...",0
❤️,1
Being a nanny plus class sounds like a lot haha - I struggled with class alone in college,0
👍,1
"Well then I think you need to let them know you got to pull over real quick to use the restroom (So here I know I wasn’t being realistic but I HAD to continue the dominance theme, not just because it was the right move but because I was FEELING it.)",1
but we'll see how that pans out,0
I wish you were here to rub my temples and make me feel better.,1
"I'm excited to see my friend, but I would be even more excited if I could share a meal with you instead.",1
I want to touch u,1
so do i,1
uni's kind of a time consuming activity,0
Oh yah same,0
hey are u out tonight?,1
"I'll tie you up to the bed and get on top of you after eating you out and be so rough and passionate, you'll be itching to get out of those handcuffs so you can ride me till kingdom cum",1
So which one?,0
Exactly I’ve already got a leg up on everyone else,0
it's wearing the same outfit as your photo,0
Be the peach to my Mario,1
As I'm lightly touching your clit..,1
"Frank was at the top of my Spotify wrapped, I was v proud",0
If you drop yours one day I’ll make sure to let you know,0
In your heart ❤️,1
So you go to Wazzu are you back over towards the west for quarantine?,0
Oh shit it’s in ur bio I’m stupid lol,0
I want to dominate you and make you mine ;),1
And you can suck on me hard until we cum,1
  I wish I could go to the farmers market with you and pick,1
"haha no, what about the national?",0
Until I scream,1
"Oh no, what sorts of messages are you getting?",0
I lived in perkins last year and I remember people throwing out q bunch of shit,0
you put a disclaimer in your about me section,0
It’ll be perfect for concerts and reaching the REALLY high shelves at Costco,1
 your compassion for others is so beautiful its so attractive ,1
"i don't think you'll get to wrestle my dog, she's not very good at playing games",0
yeah impulse buy in year 12,0
"melbourne's good, haha i've never been to any other unis tho, 
3rd year",0
"not much, going into uni to tutor for vcess",0
jack white lazaretto,0
It only took 4 months 😂😂,0
i used to go there all the time like when i was in high school,0
"haha, formal date one year",1
i just can't really do it on a regular basis,0
Yeah I'd love to :),1
ha yeah it's really quite distasteful,0
HER is so good too ah,0
Awesome. May I feel them?,1
U tryna meet up?,1
I want to be shaking,1
"not anything remotely related to engineering or maths tho, thankfully",0
"When you have a free moment, slip away and show me you pretty little tits",1
punk is gooooood,0
everyone asks me about it...,0
haha you're on a phone tho aren't you?,0
"Hey Ella, you have a great smile!",1
arts student?,1
"fingers, just a nibble",1
What’s the first concert you will ride my shoulders for?,1
If I rememberrrr correctly I wanna say it was Health! Haha I could be wrong tho,0
so many people have taken up hatchet job photoshopping on tinder,0
 I wish I could just lay down with you and rest my head on your chest    ,1
Huh who is this,1
diabetes,0
that makes me want to even more,1
 your attentiveness is a rare gem it makes me feel so special ,1
Super clean Vol 2 going straight to the queue haha,0
I want to fuck you hottie,1
Goes out *,0
Haha same thank u too! Night,0
If we lose at pong is that grounds for divorce?,0
I wish I could take a break from work and spend some time with you instead    ,1
please cum in my mouth,1
"it's only a seasonal thing, good fun and such",0
Ugh Covid really fucking up our last time at UW 😕 yep haha I’m set to graduate in March,0
anyway,0
he's even done one with flower petals stuck in the middle,0
What are u seeing? ;),1
With JUST my panties on ;),1
"I'm not looking to date anyone else right now, but I can't help feeling drawn to you.",1
Haha send me your addy and we’ll meet tho,1
i listen mostly to indie rock of the british variety,0
Then I find something hard.. Hard like a pole... Mhmmm,1
Fuck I want that so bad,1
a friend of mine is kind of obsessed with their 90s night,0
Just followed back haha. I’m boutta sleep talk tmrw tho 2034 beer pong champ,0
"no, it shall go about unnamed for now",0
I want you to fuck my mouth thrusting your hard cock down my throat and making my pussy sloppy wet while you fuck me with my wand and the fun extension.,1
but holidays right?,0
Are you my laptop? Cause you’re really hot and I’m kinda nervous 👉🏼👈🏼,1
Ya know sometimes you just gotta humble yourself,0
I can’t believe you talked me into this!!!!!!,1
what about you?,0
haha why not,0
That’s pretty intense Kyle levels right there,0
Can he join us on our first date,1
Indeed,1
 I will cum,1
Snapchat: tronvaughn,0
(I send a dick pic lol),1
I would rather taste your lips than any spicy dish.,1
pierogis,0
"that's why i don't do relationships in semester, it fucks with your head too much.",0
what are you doing in melbourne?,0
Yeah you got me all riled up,1
That sounds way better than what I put 😂 sushi is so good ah,0
Awe thanks Kye 🥴 ur 🔥,1
you look stunning today,1
Damn Graham,0
In your little fantasy,1
Is this graded on a curve or is 6/10 still failing?,0
"I think I can work with that, but where will we park the horses we take to work?",0
Harder,1
how did you get into dance?,0
FLOAT ON,1
Over and over and over,1
<knees melting>,1
It’s faster to get down the hallway,0
"i have to sleep, i'll ttyl",0
Will you be naked?,1
haha isn't that what interning is?,0
or cancer,0
"indie rock and indie pop, mostly",0
lol well i'm not particularly fond of the institution of marriage in the first place,0
i figured you did,0
Why are the good ones always 500 miles away?,1
Will I at least have free room and board at your place when I come?,1
What sort of stuff do you like to do in Berkeley? With the quarantine and all I havent had much chance to explore,0
Or at least a date or something,1
i went with a friend who just went for the canned ice cream,0
tooth decay,0
Send me your best pickup line,1
which organs have you donated?,1
you decided to jump?,0
I proved I’m insomnia,0
🐩🐩🐩🐩🐩🐩🐩,1
😍😍😍😍 best match EVER,1
<attached image>,1
What’s your snap?,1
nice mug ☕️,1
"Perfect, but like if we stay married I’m cool with that too",1
You are my greatest news of the morning,1
I would love to go grocery shopping with you and cook a delicious meal together    ,1
i am far too uncoordinated for that,0
i probably petted you when i was at the show,0
Boy band connoisseur 🥴,1
Check if you’re wet. Slide your right index finger into your pussy crack.,1
It’ll be the best selling movie ever,0
Then I want you to sit on me while I eat you out,1
today wasn't even that warm,0
yeah,0
It's extremely important for dental health,0
Official services not that I know of,0
Just voted today!  FDT lmao fingers crossed for Nov 3,0
I can imagine ;) I bet u look fine.,1
They are also divorced lol,0
there's a way you can take nurofen and panadol alternately to maintain enough painkillers in your system,0
"yeah it was alright, wbu?",0
My yodel is probably meager compared to yours but I’m all for 1 am yodel sessions ofc,0
Me too.,1
You’re too nice 🥰 what tattoos do u have?,1
why do you cry at night?,0
"Can I taste please? Just a drop, I have so much to spare.",1
"ew no, i'm not really into apps that offer the delusion of privacy",0
free alcohol is the best kind,0
I can't wait to pick you up from the couch and take you to the kitchen counter and pleasure you and then pick you back up and pin you up against the kitchen wall and continue,1
I would love to take you to see a play with me and share the experience together.,1
And grab my neck pulling me in for more kisses,1
i know the laneways quite well,0
"Bet, 2 lokos each. Dealbreaker tho, which flavors are u choosing?",1
I'd love to,1
God I hope you're hard right now,1
2 matches in 1 what a bargain,0
  theres something mysterious and intriguing about you that i cant resist ,1
Are you my homework? Cause I’m not doing you but I definitely should be,1
Do you have a Snapchat beautiful,1
On a scale of 1 to 10 how well is your life going right now,0
Hmm that is tough,0
I want massage your shoulders,1
does it have a name?,0
thank you for the very kind offer i'll have to decline because i don't think that's possible,0
what kind of postgrad?,0
Why are the good ones always 2500 miles away?,1
the opening scene with the umbrella...,0
"I know u want it.. So I plunge in  slowly, as I start to fuck you I look at you""",1
well it was a high school formal,0
I fucking know Alyssa tryna link,1
You’re the best ❤️,1
Just being honest haha,1
germany is as far as i've been east in europe,0
Okay top 3 albums go,0
Aw lol,1
Tie me up,1
"No, wait. Tell me how it feels first. Rubbing your tits.",1
Go get your vibrator,1
🔢,0
that's a lot of beer,0
"I guess to be more succinct, generally I'm looking for somewhere between  friends with benefits and semi serious fling",0
Yeah we're gonna fuck for a long time,1
"Alright alright 3 things and you guess...

1. Favorite artists are Frank Ocean, SZA, and Rex Orange County
2. Marketing and Information Systems major at UW
3. Just got my ears pierced but it’s not in any of my tinder photos yet",1
Drinking lemon water is usually a dealbreaker for me,0
"beck is good, such a strange one",0
work?,0
You'll have to trade me one of your cooking secrets,0
🥺 omg I was actually able to find it looking up frank ocean kid cudi me LOL,0
I swapped TAnner with Snehu,0
"Stomach kisses, hip kisses, thigh kisses… know where I’m going?",1
Bet how much time u need?,0
Hmm I don’t think I can provide that Alexis you might have to go a bit more reasonable 😂,1
mondays r brutal,0
Please send,0
Me: You would probably make my dick stay hard for at least two hours,1
Mmmm I love that miss your tight pussy fucking my big dick,1
then lick up and down,1
"We're in the shower and you're soaking wet...everywhere. We get so worked up, rubbing my hard hard cock against your",1
Haha it is a perfect first date tho,1
now show me your fucking body right now I want it,1
haha i have a box i bought at madrid airport for shits and giggles,1
Call your boss and tell them you won't be in tomorrow. You're going to need a personal day to sleep and recover after what I do to you all night long.,1
I grew up in new york state in a town called Mamaroneck. Then my mom and I moved to Mass when I was in college and moved around there a bit.,0
So how have u been?,1
mine are mostly indie rock and some indiepop,0
"no, it's wordplay",0
i like my elliptical but i have had too many traumatic experiences in PE,0
cool change coming thank god,0
"i've always lived in melbourne 😸 except for a brief stint in montreal, which i don't really remember",1
"I wish I could spend the evening with you, but I have some unfinished business to take care of first",1
became a coat rack for a while...,0
Damn :( big difference,0
your first photo looks like a token indie band pic,1
 I wish I could wake up to you every morning and start my day with a sweet kiss    ,1
would you like to go on a date,1
What’s your best pickup line?,1
Hey this is a bit forward but do u have a condom or should I bring one,1
I'd rather study the lines on your face and get lost in your eyes.,1
Bet I got u,0
Damn once I perfect it you’ll finally see the 7’ tall Noah,0
why on earth are you trying to go to sleep at 10?,1
i drink the stuff but i don't actually smoke it haha 🚬,0
are you up for some fun tonight,1
how was your day,1
A woman of culture,1
Going to pin you down and slide it inside you while you moan and wiggle around,1
"Okay, so I've won you over. Now it's your turn. Tell me about yourself",0
Hmmm guess my favorite drunk food and I’ll guess yours haha,1
"ah k, i don't really know any train lines well haha",0
