input,label,reply
being around you makes me go crazy,1,"""Good thing I like crazy"""
i'm 50 percent irish does that help,0,That's cool! It definitely adds some Irish charm to you.
im smiling just thinking about getting to see you later,1,"Can't wait to see your smile in person later, cutie pie!"
no crazy pick up line sorry :(,0,"No worries, thanks for keeping it simple and respectful. :)"
hey,0,Hello! How can I help you today?
i feel as if weve matched before,1,"""Maybe in a past life, let's make new memories together."""
when santa asked what i want for christmas i sent him your instagram,1,"""Tell Santa I want you wrapped up with a bow instead"""
chemistry to garment construction...interesting combo,0,That does sound like an interesting and unique combination.
also fuck yes bernie and acab ofc,0,That's great! Bernie and ACAB for sure. Cheers to that!
also avant garde lo fi sounds like beck...,0,"That's a cool comparison, Beck definitely has a unique sound!"
it’s been 3 days and tbh i’m still tryna figure out the bio. what does it mean?,0,"Just be yourself, your bio can be simple and authentic."
"idk, honestly i've just been seeing what the bloody hell this app is about",0,"Just exploring, it's pretty interesting. Enjoy checking out the app!"
if you had a bio what would it say,0,Just a regular person trying to make a positive impact in life.
i'd be forever grateful for your expert guidance and dazzling smile.,1,"""Your charm has me hooked, can't resist that dazzling smile."""
liquid filled and flower petals and shit,0,"Sounds lovely, enjoy the beauty!"
like how you're gonna tear my pussy just with your tongue..,1,"""Challenge accepted, let's see what my tongue can do 😉"""
i just checked out your instagram you are hot,1,"Thanks for the compliment, maybe we should grab a coffee sometime!"
"yeah, my friend is kind of obsessed with their 90s night",0,That sounds like a fun time! Enjoy the nostalgia.
which emoji reminds you of me,1,"The 😘 emoji reminds me of you, always making me smile."
ive got an extra ticket for a movie interested,1,"""Sounds like a date, count me in!"""
i would love to take you to see a play with me and share the experience together.,1,"""Sounds like a date, let's make it happen!"""
already? how hard? ;),1,"""Only as hard as you make it ;) Let's find out!"""
such a stressful day want to blow off some steam tonight,1,"""Let's relax together and forget about the stress, sounds perfect to me!"""
i’m a marketing analytics major :-),0,That's awesome! What kind of projects are you working on?
purely economical tax season is so tough,0,"I feel you, tax season can be really stressful."
i want you to tie my hands and do things to me,1,"""Let's see where this adventure takes us, shall we?"""
its cold today can i warm you up,1,"""Only if you promise to keep me cozy too 😉"""
same!,1,"""Great minds think alike...and so do we 😉"""
i am soooo hungry right now thing is i dont want food,1,"""Too bad, I was about to cook up something special for you 😉"""
honestly akpsi wins in that regard tiddy milk for everyone,0,"""Agreed, AKPsi definitely has a strong presence in that area."""
you can expect liver failure in the future 🍻,0,Take care of your health and consider cutting back on alcohol.
"gliding my tongue, flicking your slit.",1,"""Feeling your touch, can't wait for more magic between us."""
you look so good right now i cant actually see you but i assume you look good because you always do,1,"""Thanks, I always strive to keep up my good looks!"""
what's your favourite record,0,I have too many favorites to choose just one!
hi i have nothing to say but just wanted to say i was thinking of you,1,"""Aw, you always know how to make me smile. Thank you!"""
i cant focus today im too distracted thinking about you,1,"""Maybe I can help you focus on something else later ;)"""
i have mine ready haha,0,"Great! Let's get started then, haha."
trying to plan ahead how long is it going to take you to realize youd rather be with me than wherever you are,1,"You'll have to wait and see, I enjoy a little mystery."
i still like newspapers as weird as that sounds,1,"""Nothing wrong with liking a bit of old-school charm 😉"""
fitzroy also used to be a bit of an opium den,0,"That's interesting, I didn't know that about Fitzroy."
"i'm doing a pathology major, which is less interesting than it sounds",0,"That's okay, it's important to do what interests you."
what on earth did i spend my time thinking about before i met you,1,"You, of course! You're always on my mind now."
"no, wait. tell me how it feels first. rubbing your tits.",1,"""Guess you'll just have to find out for yourself, huh?"""
oh nice,0,"Thanks, glad you think so!"
youre going to love the outfit i wear tonight,1,"Can't wait to see it, I'm sure you'll look amazing!"
i feel that meerkats have been overhyped somewhat,0,"I can see where you're coming from, interesting perspective."
we don't have that as a major,0,"I understand, thank you for letting me know."
if you ride my shoulders we can beat 7’ 😂,1,"""Challenge accepted, let's show them how it's done 😏"""
go to shows to watch said indie bands,0,"That sounds like a great plan, enjoy the indie bands!"
just thinking about when you will be home so that i can feel your body on mine,1,"Can't wait to have you in my arms, it'll be magical."
and had a double to myself it was dope,0,"Nice, enjoy your alone time with your double. Sounds relaxing."
but nice pic. color run? i almost went (i figured i’d try to be normal too lol),1,"Haha, missed out on some fun! Maybe next time? 😏"
ah i feel that. i can go for quite some time but that bit of alone time is so crucial haha,0,"Alone time is definitely important for recharging, I totally get it!"
ha thanks😺,0,You're welcome! 😺
u tryna link?,1,"""Sure, why not? Let's see where this goes 😉"""
lederhosen isn't a person,0,"That's correct, it's traditional German clothing, not a person."
i’m always picked first for basketball tho so that’s a plus,0,"That's awesome, keep up the great work on the court!"
and slowly close in on your sexy clit,1,"""Can't wait for that sweet sensation, tease me more, darling."""
does your band's facebook page feature the rock?,0,"Yes, our band's Facebook page features rock music. Check it out!"
let’s choose someone to hang up on no matter wht,0,"""Sorry, I don't think that's a good idea. Let's move on."""
oh damn i thought you were talking about yourself. knew that couldn't be true tho because you're 11/10 cute,1,"""Guess you'll just have to keep wondering about me then ;)"""
i woke up sweating and not because it was hot outside,1,"""Must be because I'm on your mind all night."""
you do so many things that i love,1,"""Can't help it when I'm around you, you bring it out!"""
i'm not going to budge on the to-go box but i will grant a bonus point for the meik swipe. 8/10 final score. are you off meal plan?,0,"No, I'm not off the meal plan yet. Thanks for asking!"
this weekend you me and a bottle of wine,1,"""Sounds like a perfect plan, count me in! 😉"""
good girl,1,"""Thanks, but I'm a woman, not a girl. ;)"""
ok now your turn,1,"""Ready for me to show you how it's done, cutie?"""
no more games we flirting or what,1,"""Let's keep playing and see where it leads, cutie pie!"""
could you please....,1,"""Only if you promise to keep up with me ;)"""
i do not recommend trying it,0,"Thanks for the advice, I'll keep that in mind."
isn't it a little early in the week haha,0,"Haha, yeah it is! Just trying to make the best of it."
take your time. tell me everything.,1,"I'll take my time, but only if you keep listening. 😉"
i don't usually go to clubs my friends and i drink at house parties and stuff mostly,0,"That sounds fun, house parties are the best!"
mhmmmmm....,1,"""Ooh, someone's intrigued 😉"""
aw that’s a good one,0,"Thanks, I appreciate it!"
"hahaha no worries this was a really long time ago, i accompanied you for a couple concerts, was a cool experience cause i almost always played solo",0,That was a fun time. Good memories from those concerts.
i'm guessing you're a science kid too then,0,"Yes, I love science! It's so fascinating and fun to learn."
we're jealous of your 3 day weeks,0,Thanks! Our work-life balance is definitely a perk here.
also here,0,Thanks for being here!
might as well whack in the apostrophe,0,Thanks for the reminder! apostrophe added.
"you're superman, that's really the only explanation",0,"Thanks, but I think I'm just a regular person doing my best."
as long as this giraffe is your top 😉,1,"""You're the only giraffe for me 😘"""
"lol, they all have weird names too",0,"Haha, yeah they do! It makes things interesting though."
specimen's i've seen are mostly 20 year old varieties,0,"That's interesting, I've noticed the same trend with specimens."
i want to touch you right now,1,"""Sorry, no touching without permission. How about a playful game instead?"""
your first photo looks like a token indie band pic,1,"Thanks, but I promise I'm not in a band...yet 😉"
weimaraner,0,"""Such a beautiful breed, I've always admired Weimaraners. Great choice!"""
you are my world just wanted to let you know,1,"""Aw, you're my universe! Thanks for brightening my day."""
yeah it was just on violin iirc. i think steve tried to put me into situations where i'd be around girls,0,"That sounds like a fun challenge, hope you had a good time."
🍦🍦🍦,1,"""Three scoops of sweetness, just like you 😉"""
isn’t he like 18 now,0,"""Yep, he just turned 18 recently!"""
youre the star of my romcom,1,"""Can I be your leading man in this romcom?"""
i have my roommates with me,0,"""That's great, always good to have company around!"""
haha why not,0,"Sure, why not? Sounds fun!"
just curious what it is,1,"""Just a mystery you'll have to uncover ;) Let's chat more!"""
but favourite?,0,"Sure, my favorite is..."
living in boston is a little disappointing too. drugs will fix it that's why we have such a bad heroin problem,0,"I'm sorry to hear that. Remember, there are healthier solutions available."
with your other finger only insert your pinky,1,"""Challenge accepted, but only because it's you asking 😉"""
and wow you arent kidding about liquor stores,0,"Haha, yeah they're everywhere around here."
i refuse to kiss before marriage,1,"""Guess we'll have to save that for the honeymoon then 😉"""
i wish i could go back in time i would find you sooner and love you more,1,"""Time machine or not, I'm glad I found you now 😉"""
wowwwww so i’m not your favorite 😞,1,"""You're my favorite when you're not being so dramatic 😉"""
*are in,0,"I'm not sure what you mean, can you please clarify?"
"way ahead of you, baby. i’ve been squeezing my dd’s when you type.",1,Oh really? Sounds like someone's been having fun without me!
everything makes me think of you,1,You must be on my mind a lot!
i'm surprised you managed to stop masturbating for long enough to take your dp,0,"Haha, thanks! It wasn't easy but I made it happen."
"haha, that's a good motivation",0,Thanks! I appreciate the encouragement.
"i'm going to dinner with my parents, not much",0,Enjoy your dinner with your parents! Have a great time!
do you miss me type y for yes,1,"""yep, like crazy - when can I see you again?"""
idk,0,"No worries, let me know if you need help with anything."
i know ;) then i start feeling you up..,1,"""Ooh, feeling bold, are we? 😉"""
they're basically plays! aren't they?,0,"Yes, they are just like plays. Enjoy the performance!"
anyway,0,Thanks for sharing! Have a great day ahead.
it’s only fair i get to ride your shoulders sometimes tho,1,"""Of course, but only if you promise not to fall off!"""
i cant wait to get you home,1,"""Get ready for some fun when we're alone together!"""
i know what u mean,0,"I understand, thanks for sharing."
what are you doing thursday,1,"""Waiting for you to ask me out for a date, cutie."""
oh really?,0,"Yes, that's right."
you’re pretty cute i’d definitely hold your hand in public,1,"""Only if you promise not to let go too soon 😉"""
did you get that last picture from tumblr,0,"Yes, I found it on Tumblr."
you look great today how do i know because you look good every day,1,"""Thanks, but I must admit, it's all because of you."""
where is that et bicycle?,0,"""I believe the et bicycle is in the garage."""
how about you?,0,"Sounds good, thanks for asking!"
i see why you haven't written anything in your bio,0,"Just haven't gotten around to it, but thanks for noticing!"
"haha understandable, good time to kick a caffeine habit though. getting pretty depressed from lack of social contact. trying to stay productive though and apply for jobs so i'm not sad and also unemployed.",0,"Hang in there, keep staying productive and take care of yourself."
i should remove that from my thing,0,"No worries, I'll take care of it for you!"
"your chest, mmhm... lickable, your abs... i lick them tooo",1,"""Feeling brave, are we? Let's keep it PG for now."""
xx..,1,"""Wink wink, you've peaked my interest. Care to share more secrets?"""
"nup, it's wordplay",0,"Thanks for the clarification, I appreciate the wordplay, have a great day!"
"we're in the shower and you're soaking wet...everywhere. we get so worked up, rubbing my hard hard cock against your",1,Can't wait to continue this later 😉🔥
"my cock gets so hard when i think about fucking you, kissing your neck and pulling your nipples hard.",1,"""I can't wait to feel your touch and kisses on me."""
are you interested in going out sometime,1,"""Absolutely, I'd love to go out with you sometime!"""
i have to do it in september lol,1,"""Can't wait to see you shine in September, lol. 😉"""
and gently lick up and down,1,"Mmm, sounds like a delicious invitation to explore further! 😉"
are you hungry by any chance im starving but no one will agree to get chipotle with me,1,"""Guess I'll have to be your hero and get Chipotle"""
yes exactly,0,"Great, glad we're on the same page."
😂 it be like dat,1,"""Always keepin' it real, huh? 😏"""
i want to fuck you hottie,1,"""Ooh, you've got my attention, keep it coming, hottie!"""
our fairytale has only one endinghappily ever after,1,"""Let's write our own fairytale with a happily ever after ending!"""
you should try magnesium and vitamin b2 if you haven't already. there is some decent research suggesting that they help,0,"Thanks for the advice, I'll give them a try!"
i know that no one is perfect but youre pretty damn close,1,"""Flattery will get you everywhere, you smooth talker."""
i wish my grandparents had cool records,0,That's awesome! Do you listen to them often?
noah sent you a special message. update the app to view the message.,0,"Thanks for letting me know, I'll update the app now."
"we went mostly because it's close to my house, but there are better joints further out",0,"That's fair, but there are definitely some hidden gems nearby."
did you go to splendour last year? they had a really good lineup,0,"No, I didn't go, but I heard the lineup was great."
i do not want to spend a single day without you,1,"""Then lucky for you, I plan on sticking around every day!"""
is one word sufficient?,0,"Yes, one word is sufficient. Let me know if you need more!"
im thinking about deleting tinder because ive already found the guy i want to be with,1,"""Looks like I'll have to step up my game then 😉"""
"that's a terrible idea, very messy",0,"I appreciate your honesty, thanks for sharing your thoughts."
"i would not be able to keep my hands off your legs (more sensual here. sex is not just about penetration, it’s the entire experience that makes it so amazing)",1,"I'll try to control myself, but no promises 😉"
your cunt is like candy! your thighs soft and supple like bubblegum.,1,"""Sweet talker, aren't you? I like it. 😉"""
i have netflix on but no one to snuggle with think you can help me out,1,"""Sure, I'll bring the snacks and we can cozy up together."""
i wish i could stay in bed with you all day instead of leaving on this trip.,1,"""Maybe we can plan a trip together next time 😉"""
i can never thank you enough for all you do for me and for our family,1,"""Your love and support mean everything to me, my darling."""
swotvac is when i get really stuck into it,0,"That's the spirit, you've got this!"
why? i want to stay in melbourne,0,That sounds great! Enjoy your time in Melbourne.
i am just kidding i have a long and colorful family history of early onset balding and according to 23 and me i have every genetic risk factor,0,"Haha, genetics can be a wild ride! Hope you're doing well."
i want to kiss you first and feel your tounge on mine.,1,"""Let's make it happen, I can't wait to feel it."""
you mesaturday night,1,"""Sounds like a plan, can't wait to see you Saturday night!"""
"hmm i'm not sure, i guess you'll have to tell me",1,"""You'll just have to find out for yourself, won't you?"""
i cant stop thinking about how amazing you looked last night i couldnt keep my eyes off you,1,"""Maybe I'll have to wear that outfit again just for you 😉"""
oh so this is what butterflies feel like interesting,1,"""Maybe you're feeling a flutter in your stomach too 😉"""
take it up with a higher power,0,I'll leave it to a higher power to handle.
hmm i suppose i can trust a lawyer,0,"Of course, I am here to help with any legal matters."
lazaretto is a masterpiece,1,"""Is that your way of saying I'm a work of art?"""
also nice walking stick,0,"Thanks, it's a handy accessory for walks."
not yet. mmm. nice. tell me something sweet.,1,"""Are you made of sugar? Because you're pretty sweet yourself."""
namely you.,1,"""Me, myself, and I can't wait to get to know you."""
been doing good so far,0,"Glad to hear that, keep up the great work!"
man i'm gonna have some fun with you,1,"""Bring it on, I'm ready for the fun with you 😉"""
hey what's up kelly ann,0,"Hey! Not much, just hanging out. How about you?"
could you do one really important thing for me though love?,1,"""Of course, anything for you darling, what do you need?"""
"hey ella, you have a great smile!",1,"""Thanks, but yours is pretty charming too! 😉"""
im addicted to you and i need another hit,1,"""Consider me your dealer, always ready to give you a fix."""
"your bio says you were reprogrammed by ai? dear god, this is the last time i'm referencing someone's bio.",0,"Haha, it's all in good fun! Just a little joke."
croquet,0,Sounds fun! Let me know when you're playing again.
everything's funny at school,0,"That's true, school can be a real comedy show sometimes!"
*see,0,"Sure, what do you need help with?"
i feel safe when i am with you,1,"""Then you better stick with me, I'll keep you safe 😉"""
especially in surgery,0,"Thanks for mentioning, surgery is indeed a specialized field."
i got that name like 6 years ago,0,"Nice, it's a good name."
i have a epi dot 🎸 but i'm terrible. i prefer my little uke,1,"""Let's jam together, I'll teach you a thing or two 😉"""
i know the feeling i had no bio for months before writing the one i have now,0,"""Totally get it, took me a while to figure mine out too."""
well why don't you speak to him yourself,1,"I'd rather have you speak to me instead, cutie."
or great dane?,0,"Yes, I have a great dane!"
really? like what? ;),1,"""Guess you'll have to find out for yourself ;)"""
yeah impulse buy in year 12,0,"Nice, impulse buys are always fun! Enjoy your purchase in year 12."
i don't comprehend,0,"That's okay, I can explain it in a different way."
pretty well! quarantine is a bummer but what can u do lol,0,"Hang in there, we'll get through this together!"
were better together than peanut butter and chocolate,1,"""Let's mix it up like peanut butter and chocolate, sweetie."""
whats the coolest thing you've ever gotten there?,0,"A vintage record player, it's a fun addition to my collection."
no snap,0,"No worries, just thought I'd ask. Have a great day!"
"gawdamn. wish i had this earlier, i already came thinking about you when i was in the shower (it is ok to bring this stuff up if you’ve hit that point with a girl)",1,"Haha, maybe next time you can share those thoughts with me."
i napped all day lmao,0,"Nice! Sounds like a relaxing day, haha."
"mhmmmm, sure. then i take your cock in my mouth ;) mhmmm.",1,Oh really? You're full of surprises 😉
i feel that haha. do you not like coding at all or are classes just enough for you?,0,Classes are just enough for me. Coding isn't my favorite.
i was just saying,0,"No worries, just sharing thoughts."
please throw me up against anything and everything,1,"""Ready to play rough? I like your style."""
melbourne or sydney? (there's a right answer),0,"Both are great cities, but I prefer Melbourne."
what kind of sound do you make?,0,I make all kinds of sounds! What sound are you curious about?
i couldn’t hold out any longer,1,"I'm glad you finally gave in, now let's have fun!"
it’s mine too actually i just got tinder a couple days ago,0,"Nice, how are you finding it so far?"
yeah what kind,0,"Just curious, what type are you looking for?"
have you heard lucy rose? she sang on some bombay tracks,0,"Yes, I love Lucy Rose's voice! She's amazing on Bombay tracks."
"i don't think anyone cares, outside of myanmar 😜",1,"Well, luckily for you, I'm all the caring you need 😘"
"the national, palma violets, jack white, life in film, catfish",0,Nice lineup! Can't wait to see them perform.
hmmm watermelon is a good first one,0,"That sounds delicious, enjoy your watermelon!"
so which one?,0,"I'll go with the first one, thanks for asking!"
"ah k, i don't really know any train lines well haha",0,"That's okay, we can figure it out together!"
"with a little bit of stretching i think i can reach that, might just take some more practice haha",0,"You got this, practice makes perfect!"
i lean forward as i fuck you and slowly kiss u again. you have me. i have no control..,1,"""Can't resist your charm, you've got me hooked."""
hahaha i love the question about the wallets and ids,0,"Thanks for the comment, it was a fun question to answer!"
i just finished a book i know you would love you should come over to pick it up,1,"""Can't wait to see you and the book you finished!"""
which organs have you donated?,1,"Just my heart, but I'd make an exception for you. 😉"
your imagination knows no bounds its absolutely captivating,1,"Well, thank you! Let's see where our imaginations can take us."
hey hey,0,"Hey there, what's up?"
crayon factory? they have those in melbourne?,0,"Yes, there is a crayon factory in Melbourne."
"i may not have everything figured out yet, but i do know that i want you in my life.",1,"""You're the missing piece I've been looking for in life."""
haha just wait until i have you bent over and i reach around to rub your clit,1,"""Sounds tempting, can't wait to see what else you'll do."""
life story?,0,I'd love to hear about it in a non-flirty way.
but i cook pretty good spaghetti and my lentils are good like 60 percent of the time,0,Sounds delicious! I'd love to try your cooking sometime.
"the stilts are an incredible party trick, really ups my game",1,"""Sounds like I need to step up my party game too 😉"""
"yep, i go to a joint near my place all the time to get my fix",0,"That's nice, it's always good to have a go-to spot!"
your snap is crazy,1,"""Thank you, I like to keep you on your toes 😉"""
how can i make it up to you natalie,1,"""Take me out for dinner and we'll call it even, Natalie."""
what's wild anna,0,"She's a free spirit, always up for adventure and fun."
and then you'll have no friends,0,I'll still have you!
apparently it’s a bit harder to ollie than we thought,0,"No worries, practice makes perfect!"
"i loved anatomy, but mostly for the pracs. and you're allowed to bring notes into exams?",0,"Nice, I also enjoyed the pracs. Yes, notes are allowed in exams."
what are you up to this hols?,0,"""Just relaxing and enjoying some time off, how about you?"""
they say that there are no perfect girls but you come pretty damn close,1,"""Maybe there's a little bit of perfection in me after all 😉"""
wtf ur shotgunning the loko then,0,"Just trying to have a good time, you know?"
send me a pic tho.. show me whacha workin with,1,"""Only if you promise not to get too distracted by it 😉"""
uda,0,"Thanks for reaching out, how can I help you today?"
where are you going?,0,"""Just heading out, what's up?"""
i am making something special tonight want to come over for dinner,1,"""Can't say no to a special dinner with you, see you!"""
ok,1,"""Feeling okay or just waiting for me to sweep you off?"""
you wouldn't know a guy called jeremy pattison would you?,0,"No, I don't know him. How can I help you?"
refrigerated 🎨,0,Sounds cool! Let me know if you need help with anything.
ok i’ve got it.,1,"""You're catching on fast, I like that. 😉"""
id like to take you to the movies but they dont let you bring in your own snacks,1,"""Guess we'll have to sneak them in then, movie rebel!"""
"i am going to cum, but you can close your eyes and let me cum in your mouth",1,"""Let's make it a surprise, keep those eyes closed, darling."""
moving my tongue in different motions and using my fingers to put pressure on your clit,1,Can't wait to feel your touch electrify me. Let's play.
this view is amazing would be times better if you were with me,1,"""Next time, you'll have to come see it with me 😉"""
i just wasted a lot of water in the shower because i was thinking about you the whole time,1,"""Guess I owe you a raincheck for that water wasted 😏"""
see you soon,0,"Sounds good, take care and see you soon!"
"i have daddy issues, still working on the alcoholism though",0,"Sending support your way, you're not alone in this journey."
what sort of art do you do?,0,I enjoy painting landscapes and abstract art.
<knees melting>,1,"""Feeling weak in the knees just thinking about you ;)"""
oh yum i wanna ride that shit until your toes curl 😉,1,"""Let's make it happen, can't wait to see those toes curl! 😉"""
do you believe in love at first text or should i text you again,1,Love at first text? Let's find out. Text me again. 😉
"i don't watch reality tv, no clue",0,"That's cool, everyone has their preferences!"
you make me laugh as no one has done in so many years,1,"""Guess I'll have to keep you around for more laughs 😉"""
or persa,0,Thank you for your message. How can I assist you?
gotta keep up to date with the flavors ofc,0,Definitely! It's important to stay current with the latest flavors.
awesome. may i feel them?,1,"""Only if you promise to handle with care 😉"""
"haha yes when i was at college everyone had one, psych nice",0,"That's true, they are pretty popular in college settings."
i wish i could introduce you to my mom and show her how amazing you are,1,"""Maybe one day you can charm her yourself, cutie."""
youre the only one who matters,1,"""Only because you make me feel that way too 😉"""
compact it into a short story,0,"Sure, I'll work on condensing it into a short story!"
what does your week look like any room for me,1,"""Maybe, if you're lucky, you can squeeze in some time ;)"""
def getting a jet ski,0,"That sounds like a fun idea, have a great time!"
i want to lay you down on the bed and take your panties off with my teeth inch by inch,1,"""Sounds like a fun challenge, can't wait to see your skills!"""
like v? but different,0,"Sure, what's on your mind? Let's talk about it."
were hanging out tonight just so you know,1,"Can't wait to see you, it's gonna be a fun night!"
noooo,0,"No worries, it's all good!"
haha right mine is the same. i always tell ppl i swear i’m not sad that’s just my fave music,0,"That's relatable, music can be misunderstood."
"i’m doing pretty well, as well as u can in quarantine i suppose lol",0,"Glad to hear you're doing well, hang in there!"
okay,0,"Sounds good, thanks for letting me know!"
or if you want to be safe you can send me 1 cat picture before and then hold out the last one til after i send the video,0,"Sure, I'll send a cat picture now and save one for later."
i got thru calc,0,Nice job! Congratulations on getting through calculus.
i lived in perkins last year and i remember people throwing out q bunch of shit,0,"Sounds like a messy situation, hope things are better now!"
"""shellfish""",0,"""Thanks for the suggestion, but I don't eat seafood."""
haha same thank u too! night,0,Have a good night!
do you feel like getting dinner tonight,1,"""Sure, as long as you're buying 😉"""
cool doge,1,"""Such cool, much doge, very wow. Wanna hang out sometime?"""
omg one of your photos has the css stamp on it,0,"Thanks for letting me know, I'll fix it."
oh shit it’s in ur bio i’m stupid lol,0,No worries! It happens to the best of us.
if you want to make a move today would be the perfect time to go for it,1,"""Let's make that move together, today sounds perfect for us."""
thinking a lot of things about you i cant saybut i could text,1,"""Then text me and let's see where the conversation takes us 😉"""
"own a musket for home defense, since that's what the founding fathers intended. four ruffians break into my house. ""what the devil?"" as i grab my powdered wig and kentucky rifle. blow a golf ball sized hole through the first man, he's dead on the spot. draw my pistol on the second man, miss him entirely because it's smoothbore and nails the neighbors dog. i have to resort to the cannon mounted at the top of the stairs loaded with grape shot, ""tally ho lads"" the grape shot shreds two men in the blast, the sound and extra shrapnel set off car alarms. fix bayonet and charge the last terrified rapscallion. he bleeds out waiting on the police to arrive since triangular bayonet wounds are impossible to stitch up. just as the founding fathers intended.",0,"That's quite the story! Stay safe, my friend."
then i want to kiss all the way down the inside of your thighs,1,You'll have to earn that privilege first with a little patience 😉
i just saw the new picture you uploaded looking hotter than ever i see,1,Thanks! You always know how to make me blush. 😉
sides and fuck me hard and fast,1,"""Let's keep it fun and thrilling, but in a PG way."""
haha i’m a night owl,0,Night owls unite! What's keeping you up so late?
that's hilarious,0,Glad I could make you laugh!
"thanks, are you named after a hipster essential nutrient?",1,"""Maybe I'm just as essential as that nutrient. 😉"""
and the tall shelves at costco have the best items,0,That's great to hear! Costco always has good products available.
🙊,1,"""You always leave me speechless with your charm, cutie 🙊"""
🏄🐠,0,Enjoying the waves! Have a great day!
“i’m so fuckin’ hard right now.”,1,"""Is that so? Careful, you might start a fire with that."""
